Source.Name,Game Completed Date,Team,Outcome,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Rank Change,Region/Game Code,,,,
User17,12/21/2020 at 5:18:07 pm EST,Imposter,Win,3,02m 37s,No,N/A,N/A,NA / FLDQTQ,,,,
User17,12/21/2020 at 3:21:56 pm EST,Imposter,Win,1,01m 06s,No,N/A,N/A,NA / WFGEPQ,,,,
User17,12/20/2020 at 6:34:26 pm EST,Imposter,Win,1,03m 01s,No,N/A,N/A,NA / RJPINF,,,,
User17,12/20/2020 at 6:30:56 pm EST,Imposter,Loss,0,01m 50s,Yes,N/A,N/A,NA / RJPINF,,,,
User17,12/20/2020 at 6:20:34 pm EST,Imposter,Win,1,00m 31s,No,N/A,N/A,NA / RJPINF,,,,
User17,12/20/2020 at 6:11:43 pm EST,Imposter,Win,2,03m 25s,No,N/A,N/A,NA / RJPINF,,,,
User17,12/20/2020 at 5:49:20 pm EST,Imposter,Win,3,05m 24s,No,N/A,+++,Europe / LQGWUF,,,,
User17,12/20/2020 at 5:37:30 pm EST,Imposter,Win,1,01m 59s,No,N/A,N/A,Europe / LQGWUF,,,,
User17,12/20/2020 at 11:19:03 am EST,Imposter,Win,2,10m 24s,No,N/A,+++,NA / DZZFDF,,,,
User17,12/20/2020 at 11:05:16 am EST,Imposter,Win,2,07m 31s,No,N/A,+++,NA / DZZFDF,,,,
User17,12/20/2020 at 10:50:21 am EST,Imposter,Win,3,06m 57s,No,N/A,+++,NA / DZZFDF,,,,
User17,12/20/2020 at 10:42:50 am EST,Imposter,Loss,1,02m 47s,Yes,N/A,N/A,NA / DZZFDF,,,,
User17,12/20/2020 at 10:33:44 am EST,Imposter,Win,1,02m 31s,No,N/A,N/A,NA / DZZFDF,,,,
User17,12/19/2020 at 5:29:47 pm EST,Imposter,Win,1,04m 47s,No,N/A,N/A,NA / HAKPCF,,,,
User17,12/19/2020 at 5:20:04 pm EST,Imposter,Win,1,10m 19s,No,N/A,+++,NA / HAKPCF,,,,
User17,12/19/2020 at 5:08:40 pm EST,Imposter,Loss,0,07m 43s,Yes,N/A,--,NA / HAKPCF,,,,
User18,12/22/2020 at 7:26:57 pm EST,Imposter,Loss,3,14m 13s,No,N/A,-,Europe / NMCIQQ,,,,
User18,12/22/2020 at 6:38:40 pm EST,Imposter,Win,5,12m 09s,No,N/A,+++,Europe / NMCIQQ,,,,
User18,12/19/2020 at 1:21:19 pm EST,Imposter,Loss,1,09m 35s,No,N/A,--,Europe / ZVBKBF,,,,
User18,12/18/2020 at 6:58:22 pm EST,Imposter,Loss,1,11m 03s,No,N/A,--,Europe / ZFCTGF,,,,
User18,12/18/2020 at 6:41:57 pm EST,Imposter,Loss,1,11m 02s,No,N/A,--,Europe / ZFCTGF,,,,
User18,12/18/2020 at 2:12:00 pm EST,Imposter,Loss,1,04m 55s,No,N/A,N/A,Europe / OEAIBF,,,,
User18,12/18/2020 at 1:45:57 pm EST,Imposter,Loss,2,16m 29s,No,N/A,-,Europe / OEAIBF,,,,
